left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-5.44922,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.46875,0.77
-5.53711,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.0585938,0.78
-5.53711,2.54883,0.727095,-3.95508,-0.5625,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,0.79
-5.53711,2.54883,0.671165,-3.86719,-0.5625,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,0.8
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.3125,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,0.81
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.46875,0.82
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.1875,-4.92188,-2.37305,-0.503374,-3.16406,0.4375,-0.25,0.5625,-0.351562,0.83
-5.53711,2.54883,0.727095,-3.95508,-0.5625,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,0.839999
-5.53711,2.63672,0.727095,-3.95508,-0.5625,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.703125,0.849999
-5.53711,2.46094,0.727095,-3.86719,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,0,0.859999
-5.44922,2.46094,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.92188,-2.37305,-0.615234,-3.25195,0.4375,-0.3125,0.5625,-0.527344,0.869999
-5.53711,2.54883,0.727095,-3.86719,-0.5625,-0.25,-0.25,-4.92188,-2.28516,-0.559304,-3.25195,0.375,-0.25,0.5625,-0.585938,0.879999
-5.44922,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.92188,-2.37305,-0.559304,-3.25195,0.4375,-0.25,0.5625,-0.351562,0.889999
-5.44922,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.410156,0.899999
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.351562,0.909999
-5.44922,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.410156,0.919999
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.25195,0.375,-0.25,0.5625,-0.527344,0.929999
-5.53711,2.63672,0.671165,-3.95508,-0.5625,-0.3125,-0.1875,-4.92188,-2.37305,-0.615234,-3.16406,0.375,-0.25,0.5625,-0.175781,0.939999
-5.44922,2.54883,0.727095,-3.86719,-0.5,-0.3125,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,0.949999
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.1875,-4.92188,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.0585938,0.959999
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.25,-4.92188,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.234375,0.969999
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.527344,0.979999
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.351562,0.989999
