left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.48248,3.2228,19.0651,-0.338007,1.00936,-0.532908,4.69907,-3.93304,14.9249,0.568768,0.834791,0.76546,0.65
4.47573,3.20069,19.0934,-0.334585,1.01166,-0.530585,4.69279,-3.94196,14.9331,0.571766,0.836251,0.769654,0.66
4.46969,3.1808,19.1189,-0.331508,1.01374,-0.528495,4.68716,-3.94474,14.9418,0.573732,0.837089,0.768475,0.67
4.46607,3.1805,19.0937,-0.333547,1.01407,-0.530545,4.68,-3.93741,14.9469,0.568427,0.837139,0.7699,0.68
4.48838,3.1985,19.0616,-0.33552,1.01559,-0.535449,4.72846,-3.94449,14.923,0.570871,0.839545,0.769537,0.69
4.48008,3.19541,19.0954,-0.332424,1.01773,-0.53551,4.69278,-3.94511,14.9483,0.572847,0.839228,0.767955,0.7
4.50064,3.2081,19.0289,-0.331437,1.01028,-0.537452,4.73891,-3.94654,14.9229,0.571309,0.841074,0.769036,0.71
4.49114,3.20406,19.0659,-0.328749,1.01294,-0.537314,4.78249,-3.93616,14.8961,0.573262,0.842647,0.766175,0.72
4.51061,3.21591,19.0024,-0.328129,1.00597,-0.539076,4.76784,-3.9395,14.9085,0.575074,0.842849,0.765345,0.73
4.50073,3.21732,19.0081,-0.326815,1.00129,-0.54012,4.75496,-3.94881,14.8852,0.577757,0.835313,0.765916,0.74
4.5202,3.23787,18.9505,-0.330504,0.996318,-0.54541,4.79596,-3.95475,14.8674,0.57927,0.837902,0.765951,0.75
4.50968,3.21428,18.9903,-0.327831,0.999926,-0.541841,4.77928,-3.95766,14.8468,0.578002,0.830509,0.767704,0.76
4.50204,3.2106,18.978,-0.330238,1.00164,-0.542555,4.765,-3.95889,14.8641,0.579344,0.831921,0.76672,0.77
4.52173,3.20902,18.9524,-0.332465,1.00395,-0.543623,4.80394,-3.9589,14.8471,0.577157,0.8345,0.767921,0.78
4.51231,3.21393,18.9992,-0.334389,1.00728,-0.539001,4.78716,-3.95998,14.8644,0.578579,0.835516,0.766917,0.79
4.53003,3.22374,18.9778,-0.335827,1.00902,-0.538156,4.77309,-3.9444,14.8747,0.579663,0.835988,0.763423,0.8
4.54778,3.2476,18.9239,-0.339663,1.00293,-0.54088,4.75939,-3.94693,14.8893,0.580838,0.836854,0.762866,0.81
4.53516,3.25595,18.9376,-0.341314,0.999382,-0.54556,4.74602,-3.94428,14.901,0.578357,0.837282,0.76361,0.82
4.52401,3.25726,18.9504,-0.339728,0.995015,-0.543189,4.78671,-3.94702,14.881,0.578863,0.840032,0.766734,0.83
4.51503,3.26363,18.9634,-0.34197,0.991456,-0.539959,4.77164,-3.9493,14.895,0.580116,0.840493,0.76585,0.839999
4.50596,3.28591,18.9801,-0.344067,0.988704,-0.539683,4.75809,-3.95136,14.9075,0.581241,0.840912,0.765057,0.849999
4.52646,3.28071,18.955,-0.345957,0.991969,-0.538272,4.74592,-3.95321,14.9188,0.582257,0.841289,0.764342,0.859999
4.51732,3.26422,18.9468,-0.343479,0.993303,-0.532765,4.76248,-3.95921,14.9284,0.584562,0.836663,0.762492,0.869999
4.53671,3.28295,18.9315,-0.349172,0.99693,-0.533585,4.77591,-3.93319,14.9642,0.580908,0.83978,0.761022,0.879999
