left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.35376,2.76055,7.33303,0.779839,0.67855,-1.44338,0.112945,-4.13811,6.98226,-0.898042,1.49126,0.260288,0.7
-1.34275,2.53389,7.3019,0.80662,0.665275,-1.34968,0.112928,-4.13807,6.98239,-0.898002,1.4913,0.260283,0.71
-1.35176,2.69995,7.3497,0.807404,0.669749,-1.3766,0.393511,-4.22466,6.3628,-0.889454,1.4749,0.266182,0.72
-1.35162,2.70003,7.34953,0.807384,0.669743,-1.37662,0.146695,-4.3696,6.15849,-0.839186,1.39613,0.312735,0.73
-1.3421,2.80193,7.34194,0.768223,0.675545,-1.41659,0.12306,-3.97256,6.93222,-0.898016,1.48698,0.233876,0.74
-1.34287,2.53408,7.3017,0.806684,0.665224,-1.34968,0.39311,-4.27336,6.34191,-0.886177,1.47719,0.315363,0.75
-1.64092,2.40355,7.89686,0.826015,0.685192,-1.3706,0.382412,-4.17165,6.347,-0.926659,1.47035,0.276228,0.76
-1.33295,2.58826,7.31917,0.768857,0.669746,-1.34067,-0.156284,-4.18501,7.10879,-0.869296,1.4935,0.321674,0.77
-1.33208,2.8562,7.3595,0.730339,0.680056,-1.40762,0.393339,-4.22458,6.36286,-0.889496,1.47488,0.266149,0.78
-1.33312,2.63596,7.29397,0.767485,0.671027,-1.38967,0.393866,-4.00081,6.65131,-0.899976,1.54868,0.227384,0.79
-1.35191,2.6999,7.34962,0.807523,0.669742,-1.37653,0.393499,-4.2247,6.36271,-0.889447,1.47493,0.266182,0.8
-1.35189,2.70006,7.34951,0.807523,0.669717,-1.37654,0.39245,-4.00607,6.29718,-0.926662,1.46603,0.249849,0.81
-1.34205,2.80201,7.34175,0.768271,0.675537,-1.41657,0.393465,-4.22469,6.36278,-0.889493,1.47489,0.266193,0.82
-1.34293,2.53419,7.3016,0.806761,0.665197,-1.34965,0.403733,-4.32625,6.35791,-0.849101,1.48169,0.305248,0.83
