left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,0.78
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.25,-0.75,-0.234375,0.79
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,0.8
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.585938,0.81
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,0.82
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,0.83
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5625,1.1875,-0.75,-0.410156,0.839999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.351562,0.849999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.410156,0.859999
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5625,1.1875,-0.6875,0.0585938,0.869999
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.527344,0.879999
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.234375,0.889999
-0.703125,2.54883,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.527344,0.899999
